source_id,ordinal,S0_comp_valid,S1_comp_valid,S0_struct_valid,S1_struct_valid,S0_strict_stable,S1_strict_stable,S0_meta_stable,S1_meta_stable,S0_strict_sun,S1_strict_sun,S0_meta_sun,S1_meta_sun,S0_e_above_hull_eV_atom,S1_e_above_hull_eV_atom
H1A2_1200:0697,688,True,True,True,True,False,False,True,True,False,False,True,True,0.024844223007812083,0.024050765976562083
H1A2_1200:0698,689,True,True,True,True,False,False,True,True,False,False,True,True,0.020191562659375606,0.01907957840644592
H1A2_1200:0699,690,True,True,True,True,False,False,True,True,False,False,True,True,0.06606801507202142,0.08938487527099603
H1A2_1200:0700,691,True,True,True,True,False,False,False,False,False,False,False,False,0.436981325859918,0.4039131457756895
H1A2_1200:0701,692,True,True,True,True,False,False,True,True,False,False,True,True,0.06630290180222387,0.06015742450730199
H1A2_1200:0702,693,True,True,True,True,True,True,True,True,True,True,True,True,-0.04459612514892619,-0.044620920681152754
H1A2_1200:0703,694,False,False,True,True,True,True,True,True,True,True,True,True,-0.012905676757987372,-0.012800772583182685
H1A2_1200:0704,695,True,True,True,True,False,False,True,True,False,False,True,True,0.06248139120189222,0.09780739523021253
H1A2_1200:0705,696,True,True,True,True,False,True,True,True,False,True,True,True,0.05629730208780792,-0.05597877518269989
H1A2_1200:0706,697,True,True,True,True,False,False,False,False,False,False,False,False,0.14019878035938405,0.10395057326709889
H1A2_1200:0707,698,True,True,True,True,True,True,True,True,True,True,True,True,-0.029045708391113756,-0.030575878831787584
H1A2_1200:0708,699,True,True,True,True,False,False,True,True,False,False,True,True,0.05268195345331783,0.0286903686754858
H1A2_1200:0709,700,False,False,True,True,False,False,False,False,False,False,False,False,0.1126864759259334,0.15274508874941972
H1A2_1200:0710,701,True,True,True,True,False,False,False,False,False,False,False,False,0.34105438547580214,unknown
H1A2_1200:0711,702,True,True,True,True,False,False,False,False,False,False,False,False,0.12781463378662128,0.16398893111938495
H1A2_1200:0712,703,True,True,True,True,False,False,True,True,False,False,True,True,0.0230499630768497,0.09219278152777743
H1A2_1200:0713,704,True,True,True,True,False,False,False,False,False,False,False,False,0.13710217794604507,0.1373196156901857
H1A2_1200:0714,705,True,True,True,True,False,False,True,True,False,False,True,True,0.038841314817017025,0.03535587360913128
H1A2_1200:0715,706,False,False,True,True,False,False,False,False,False,False,False,False,0.12119537269002212,0.13757377539998306
H1A2_1200:0716,707,True,True,True,True,False,False,True,True,False,False,False,False,0.06938994635872753,0.06936085929207714
H1A2_1200:0717,708,True,True,True,True,False,False,False,True,False,False,False,True,0.14526112413972037,0.05907662249177115
